train_no,station_code,stop_sequence,scheduled_arrival_ts,scheduled_departure_ts,is_stop,train_type
T0138,HWH,1,2026-01-14 02:30:00.000000000,2026-01-14 02:32:00.000000000,True,Freight
T0139,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0140,HWH,1,2026-01-14 01:25:00.000000000,2026-01-14 01:27:00.000000000,True,Passenger
T0141,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0142,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0143,HWH,1,2026-01-14 04:40:00.000000000,2026-01-14 04:42:00.000000000,True,Express
T0144,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0144,BDC,6,2026-01-14 00:13:00.000000000,2026-01-14 00:13:30.000000000,True,Express
T0145,HWH,1,2026-01-14 09:00:00.000000000,2026-01-14 09:02:00.000000000,True,Passenger
T0145,BDC,6,2026-01-14 09:09:12.000000000,2026-01-14 09:09:57.000000000,True,Passenger
T0146,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0146,SRP,3,2026-01-14 00:15:48.000000000,2026-01-14 00:16:18.000000000,True,Freight
T0146,CGR,4,2026-01-14 00:23:07.200000000,2026-01-14 00:23:37.200000000,True,Freight
T0146,BDC,6,2026-01-14 00:32:25.200000000,2026-01-14 00:32:55.200000000,True,Freight
T0147,HWH,1,2026-01-14 06:30:00.000000000,2026-01-14 06:32:00.000000000,True,Freight
T0147,SRP,3,2026-01-14 06:40:48.000000000,2026-01-14 06:41:18.000000000,True,Freight
T0147,CGR,4,2026-01-14 06:48:07.200000000,2026-01-14 06:48:37.200000000,True,Freight
T0147,BDC,6,2026-01-14 06:57:25.200000000,2026-01-14 06:57:55.200000000,True,Freight
T0148,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0148,BDC,6,2026-01-14 00:15:48.000000000,2026-01-14 00:16:18.000000000,True,Freight
T0149,HWH,1,2026-01-14 01:30:00.000000000,2026-01-14 01:32:00.000000000,True,Passenger
T0149,BDC,6,2026-01-14 01:39:12.000000000,2026-01-14 01:39:57.000000000,True,Passenger
T0150,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0150,BDC,6,2026-01-14 00:14:12.000000000,2026-01-14 00:14:57.000000000,True,Passenger
T0151,HWH,1,2026-01-14 00:25:00.000000000,2026-01-14 00:27:00.000000000,True,Express
T0151,BDC,6,2026-01-14 00:33:00.000000000,2026-01-14 00:33:30.000000000,True,Express
T0152,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0152,BDC,6,2026-01-14 00:14:12.000000000,2026-01-14 00:14:57.000000000,True,Passenger
T0153,HWH,1,2026-01-14 01:15:00.000000000,2026-01-14 01:17:00.000000000,True,Freight
T0153,BDC,6,2026-01-14 01:25:48.000000000,2026-01-14 01:26:18.000000000,True,Freight
T0154,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0154,SRP,3,2026-01-14 00:15:48.000000000,2026-01-14 00:16:18.000000000,True,Freight
T0154,BDC,6,2026-01-14 00:25:06.000000000,2026-01-14 00:25:36.000000000,True,Freight
T0155,HWH,1,2026-01-14 05:20:00.000000000,2026-01-14 05:22:00.000000000,True,Passenger
T0155,BDC,6,2026-01-14 05:29:12.000000000,2026-01-14 05:29:57.000000000,True,Passenger
T0156,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0156,SRP,3,2026-01-14 00:15:48.000000000,2026-01-14 00:16:18.000000000,True,Freight
T0156,CGR,4,2026-01-14 00:23:07.200000000,2026-01-14 00:23:37.200000000,True,Freight
T0156,BDC,6,2026-01-14 00:32:25.200000000,2026-01-14 00:32:55.200000000,True,Freight
T0157,HWH,1,2026-01-14 03:30:00.000000000,2026-01-14 03:32:00.000000000,True,Freight
T0157,SRP,3,2026-01-14 03:40:48.000000000,2026-01-14 03:41:18.000000000,True,Freight
T0157,CGR,4,2026-01-14 03:48:07.200000000,2026-01-14 03:48:37.200000000,True,Freight
T0157,BDC,6,2026-01-14 03:57:25.200000000,2026-01-14 03:57:55.200000000,True,Freight
T0158,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0158,BDC,6,2026-01-14 00:14:12.000000000,2026-01-14 00:14:57.000000000,True,Passenger
T0159,HWH,1,2026-01-14 02:45:00.000000000,2026-01-14 02:47:00.000000000,True,Passenger
T0159,BDC,6,2026-01-14 02:54:12.000000000,2026-01-14 02:54:57.000000000,True,Passenger
T0160,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0160,BDC,6,2026-01-14 00:15:48.000000000,2026-01-14 00:16:18.000000000,True,Freight
T0161,HWH,1,2026-01-14 00:55:00.000000000,2026-01-14 00:57:00.000000000,True,Freight
T0161,BDC,6,2026-01-14 01:05:48.000000000,2026-01-14 01:06:18.000000000,True,Freight
T0162,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0162,CNS,5,2026-01-14 00:15:48.000000000,2026-01-14 00:16:18.000000000,True,Freight
T0162,BDC,6,2026-01-14 00:28:24.000000000,2026-01-14 00:28:54.000000000,True,Freight
T0163,HWH,1,2026-01-14 03:45:00.000000000,2026-01-14 03:47:00.000000000,True,Express
T0163,CNS,5,2026-01-14 03:53:00.000000000,2026-01-14 03:53:30.000000000,True,Express
T0163,BDC,6,2026-01-14 04:01:45.000000000,2026-01-14 04:02:15.000000000,True,Express
T0164,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0164,BDC,6,2026-01-14 00:13:00.000000000,2026-01-14 00:13:30.000000000,True,Express
T0165,HWH,1,2026-01-14 01:35:00.000000000,2026-01-14 01:37:00.000000000,True,Express
T0165,BDC,6,2026-01-14 01:43:00.000000000,2026-01-14 01:43:30.000000000,True,Express
T0166,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0166,SRP,3,2026-01-14 00:14:12.000000000,2026-01-14 00:14:57.000000000,True,Passenger
T0166,CGR,4,2026-01-14 00:20:31.800000000,2026-01-14 00:21:16.800000000,True,Passenger
T0166,CNS,5,2026-01-14 00:27:40.200000000,2026-01-14 00:28:25.200000000,True,Passenger
T0166,BDC,6,2026-01-14 00:38:19.200000000,2026-01-14 00:39:04.200000000,True,Passenger
T0167,HWH,1,2026-01-14 08:50:00.000000000,2026-01-14 08:52:00.000000000,True,Express
T0167,SRP,3,2026-01-14 08:58:00.000000000,2026-01-14 08:58:30.000000000,True,Express
T0167,CGR,4,2026-01-14 09:03:09.000000000,2026-01-14 09:03:39.000000000,True,Express
T0167,CNS,5,2026-01-14 09:08:58.499999999,2026-01-14 09:09:28.499999999,True,Express
T0167,BDC,6,2026-01-14 09:17:43.499999999,2026-01-14 09:18:13.499999999,True,Express
T0168,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0169,HWH,1,2026-01-14 00:30:00.000000000,2026-01-14 00:32:00.000000000,True,Passenger
T0170,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0170,BDC,6,2026-01-14 00:13:00.000000000,2026-01-14 00:13:30.000000000,True,Express
T0171,HWH,1,2026-01-14 01:00:00.000000000,2026-01-14 01:02:00.000000000,True,Express
T0171,BDC,6,2026-01-14 01:08:00.000000000,2026-01-14 01:08:30.000000000,True,Express
T0172,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0173,HWH,1,2026-01-14 01:45:00.000000000,2026-01-14 01:47:00.000000000,True,Freight
T0174,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Express
T0175,BDC,6,2026-01-14 02:20:00.000000000,2026-01-14 02:22:00.000000000,True,Freight
T0176,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Passenger
T0177,BDC,6,2026-01-14 03:35:00.000000000,2026-01-14 03:37:00.000000000,True,Freight
T0178,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Express
T0179,BDC,6,2026-01-14 01:15:00.000000000,2026-01-14 01:17:00.000000000,True,Passenger
T0180,BDC,6,2026-01-14 00:20:00.000000000,2026-01-14 00:22:00.000000000,True,Passenger
T0181,BDC,6,2026-01-14 01:35:00.000000000,2026-01-14 01:37:00.000000000,True,Passenger
T0182,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Freight
T0183,BDC,6,2026-01-14 02:40:00.000000000,2026-01-14 02:42:00.000000000,True,Express
T0184,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Passenger
T0185,BDC,6,2026-01-14 01:30:00.000000000,2026-01-14 01:32:00.000000000,True,Passenger
T0186,BDC,6,2026-01-14 00:20:00.000000000,2026-01-14 00:22:00.000000000,True,Passenger
T0187,BDC,6,2026-01-14 01:00:00.000000000,2026-01-14 01:02:00.000000000,True,Freight
T0188,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Freight
T0189,BDC,6,2026-01-14 02:35:00.000000000,2026-01-14 02:37:00.000000000,True,Express
T0190,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Freight
T0191,BDC,6,2026-01-14 02:05:00.000000000,2026-01-14 02:07:00.000000000,True,Passenger
T0192,BDC,6,2026-01-14 00:20:00.000000000,2026-01-14 00:22:00.000000000,True,Express
T0193,BDC,6,2026-01-14 01:30:00.000000000,2026-01-14 01:32:00.000000000,True,Passenger
T0194,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Passenger
T0195,BDC,6,2026-01-14 00:40:00.000000000,2026-01-14 00:42:00.000000000,True,Freight
T0196,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0196,BDC,6,2026-01-14 00:13:00.000000000,2026-01-14 00:13:30.000000000,True,Express
T0197,HWH,1,2026-01-14 01:15:00.000000000,2026-01-14 01:17:00.000000000,True,Freight
T0197,BDC,6,2026-01-14 01:25:48.000000000,2026-01-14 01:26:18.000000000,True,Freight
T0198,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Freight
T0199,BDC,6,2026-01-14 01:25:00.000000000,2026-01-14 01:27:00.000000000,True,Express
T0200,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,Passenger
T0201,BDC,6,2026-01-14 02:05:00.000000000,2026-01-14 02:07:00.000000000,True,
T0202,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:17:00.000000000,True,
T0203,BDC,6,2026-01-14 01:45:00.000000000,2026-01-14 01:47:00.000000000,True,
T0204,HWH,1,2026-01-14 02:00:00.000000000,2026-01-14 02:02:00.000000000,True,
T0205,HWH,1,2026-01-14 01:05:00.000000000,2026-01-14 01:07:00.000000000,True,
T0206,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0207,HWH,1,2026-01-14 00:55:00.000000000,2026-01-14 00:57:00.000000000,True,
T0208,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0209,HWH,1,2026-01-14 01:00:00.000000000,2026-01-14 01:02:00.000000000,True,
T0210,HWH,1,2026-01-14 00:40:00.000000000,2026-01-14 00:42:00.000000000,True,
T0210,BDC,6,2026-01-14 00:50:00.000000000,2026-01-14 00:50:30.000000000,True,
T0211,HWH,1,2026-01-14 01:35:00.000000000,2026-01-14 01:37:00.000000000,True,
T0211,BDC,6,2026-01-14 01:45:00.000000000,2026-01-14 01:45:30.000000000,True,
T0212,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0212,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:15:30.000000000,True,
T0213,HWH,1,2026-01-14 00:55:00.000000000,2026-01-14 00:57:00.000000000,True,
T0213,BDC,6,2026-01-14 01:05:00.000000000,2026-01-14 01:05:30.000000000,True,
T0214,HWH,1,2026-01-14 00:40:00.000000000,2026-01-14 00:42:00.000000000,True,
T0214,BDC,6,2026-01-14 00:50:00.000000000,2026-01-14 00:50:30.000000000,True,
T0215,HWH,1,2026-01-14 00:55:00.000000000,2026-01-14 00:57:00.000000000,True,
T0215,BDC,6,2026-01-14 01:05:00.000000000,2026-01-14 01:05:30.000000000,True,
T0216,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0216,BDC,6,2026-01-14 00:15:00.000000000,2026-01-14 00:15:30.000000000,True,
T0217,HWH,1,2026-01-14 04:40:00.000000000,2026-01-14 04:42:00.000000000,True,
T0217,BDC,6,2026-01-14 04:50:00.000000000,2026-01-14 04:50:30.000000000,True,
T0218,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0219,HWH,1,2026-01-14 03:50:00.000000000,2026-01-14 03:52:00.000000000,True,
T0220,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0221,HWH,1,2026-01-14 03:45:00.000000000,2026-01-14 03:47:00.000000000,True,
T0222,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0223,HWH,1,2026-01-14 01:45:00.000000000,2026-01-14 01:47:00.000000000,True,
T0224,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0225,HWH,1,2026-01-14 01:25:00.000000000,2026-01-14 01:27:00.000000000,True,
T0226,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,
T0227,HWH,1,2026-01-14 05:05:00.000000000,2026-01-14 05:07:00.000000000,True,
