train_no,station_code,event_type,scheduled_time_ts,actual_time_ts,delay_minutes
T0537,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.126706731,0.07
T0505,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.368235044,0.07
T0057,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.447462029,0.07
T0341,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.594829306,0.08
T0283,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.941932085,0.08
T0712,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:05.113113770,0.09
T0349,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:05.117218187,0.09
T0408,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:05.152464221,0.09
T0575,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:05.320970438,0.09
T0522,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:05.431056830,0.09
T0410,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:05.703712593,0.1
T0277,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:05.922258827,0.1
T0398,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:06.170698247,0.1
T0710,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:06.211603489,0.1
T0426,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:06.546222265,0.11
T0723,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:06.723788441,0.11
T0567,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:06.753311324,0.11
T0390,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:06.906621858,0.12
T0651,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:07.041197405,0.12
T0738,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:07.078450432,0.12
T0436,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:07.287356252,0.12
T0067,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:07.291111095,0.12
T0709,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:07.365209339,0.12
T0438,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:07.725451406,0.13
T0424,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:07.895583366,0.13
T0297,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:08.536937700,0.14
T0533,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:08.576486037,0.14
T0032,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:08.974140094,0.15
T0261,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:09.134713734,0.15
T0456,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:09.255457374,0.15
T0331,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:09.375998209,0.16
T0428,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:09.619261176,0.16
T0396,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:09.635825137,0.16
T0464,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:09.827053531,0.16
T0154,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:09.908741117,0.17
T0794,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:10.559359290,0.18
T0606,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:10.683445366,0.18
T0784,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:11.053344909,0.18
T0014,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:11.457006011,0.19
T0553,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:11.503683906,0.19
T0489,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:11.818812285,0.2
T0593,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:11.877799592,0.2
T0495,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:11.956075133,0.2
T0100,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:12.330083000,0.21
T0125,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:12.416963814,0.21
T0602,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:12.449277392,0.21
T0444,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:12.612555789,0.21
T0485,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.095797762,0.22
T0708,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.121213613,0.22
T0742,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.248910168,0.22
T0148,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.302951050,0.22
T0462,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.579020180,0.23
T0590,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.623703561,0.23
T0273,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.663742029,0.23
T0142,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:13.922942159,0.23
T0041,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:14.056441267,0.23
T0160,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:14.319713762,0.24
T0736,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:14.440929793,0.24
T0664,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:14.655366680,0.24
T0511,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:14.911110988,0.25
T0454,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:15.373503772,0.26
T0267,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:15.763788546,0.26
T0065,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:15.830536326,0.26
T0323,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:15.892006408,0.26
T0797,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:16.163605338,0.27
T0458,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:16.351305213,0.27
T0111,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:16.422734586,0.27
T0206,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:16.741251272,0.28
T0450,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:16.742398812,0.28
T0144,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:17.180662083,0.29
T0711,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:17.345505885,0.29
T0037,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:17.437817278,0.29
T0719,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:17.551143988,0.29
T0376,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:17.778206474,0.3
T0047,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:17.930235919,0.3
T0103,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.115042022,0.3
T0764,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.188670028,0.3
T0005,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.319486009,0.31
T0123,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.371074388,0.31
T0477,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.423821137,0.31
T0319,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.439545038,0.31
T0136,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.738422538,0.31
T0656,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.818690039,0.31
T0754,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:18.843004560,0.31
T0595,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:19.719509967,0.33
T0134,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:19.771611833,0.33
T0164,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:19.874232470,0.33
T0475,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:19.935648627,0.33
T0660,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:20.498580551,0.34
T0577,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:20.723898772,0.35
T0640,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:20.797559006,0.35
T0654,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:21.047963270,0.35
T0139,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:21.694775950,0.36
T0016,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:21.882033665,0.36
T0024,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:21.901306474,0.37
T0727,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:22.007288802,0.37
T0230,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:22.604965858,0.38
T0309,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:23.420521312,0.39
T0061,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:23.622254006,0.39
T0420,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:23.919011985,0.4
T0628,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:24.031275115,0.4
T0027,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:24.055473109,0.4
T0758,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:24.079753927,0.4
T0547,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:24.327566544,0.41
T0636,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:24.425544681,0.41
T0335,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:25.539808999,0.43
T0642,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:25.615984030,0.43
T0733,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:25.829665269,0.43
T0131,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:25.933119404,0.43
T0545,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:26.124342849,0.44
T0448,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:26.264943281,0.44
T0337,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:26.897069253,0.45
T0616,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:27.056505152,0.45
T0019,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:27.145779205,0.45
T0543,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:27.178726680,0.45
T0287,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:27.307158302,0.46
T0766,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:27.626279681,0.46
T0254,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:27.743204701,0.46
T0693,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:27.789450750,0.46
T0109,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:28.058956947,0.47
T0666,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:28.452652907,0.47
T0343,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:28.560703853,0.48
T0725,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:28.677385430,0.48
T0432,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:28.769486222,0.48
T0584,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:28.898926652,0.48
T0368,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:29.192412574,0.49
T0394,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:29.500174433,0.49
T0702,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:29.559197860,0.49
T0234,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:30.077133512,0.5
T0357,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:30.353009739,0.51
T0416,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:30.617118914,0.51
T0285,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:30.789615940,0.51
T0756,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:31.022313277,0.52
T0509,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:31.442646596,0.52
T0644,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:31.716881823,0.53
T0676,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:32.044806746,0.53
T0746,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:32.118989957,0.54
T0752,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:32.155283310,0.54
T0045,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:32.341439898,0.54
T0146,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:33.528942375,0.56
T0692,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:33.864334789,0.56
T0715,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:34.184220116,0.57
T0222,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:34.372475372,0.57
T0156,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:34.446268058,0.57
T0250,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:34.861973723,0.58
T0778,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:35.071586015,0.58
T0018,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:35.708535881,0.6
T0586,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:35.875095070,0.6
T0721,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:35.939882682,0.6
T0162,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:36.205411689,0.6
T0414,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:36.506267910,0.61
T0120,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:37.204795294,0.62
T0662,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:37.268908742,0.62
T0246,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:37.339701249,0.62
T0307,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:37.863089307,0.63
T0650,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:37.977379842,0.63
T0049,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:37.978742303,0.63
T0582,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:38.072240778,0.63
T0748,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:38.111206896,0.64
T0170,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:38.193496614,0.64
T0600,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:38.903918357,0.65
T0355,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:39.233299562,0.65
T0212,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:40.517392148,0.68
T0418,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:41.012502921,0.68
T0303,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:41.125557387,0.69
T0232,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:41.443873277,0.69
T0788,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:41.917704098,0.7
T0359,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:42.026581305,0.7
T0370,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:42.059697888,0.7
T0366,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:42.135641366,0.7
T0301,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:42.304674134,0.71
T0406,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:42.428306777,0.71
T0501,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:43.142137160,0.72
T0384,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:43.282758250,0.72
T0460,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:43.394911289,0.72
T0055,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:43.730611794,0.73
T0009,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:44.115943374,0.74
T0634,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:44.397580575,0.74
T0158,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:45.050302871,0.75
T0646,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:45.318099106,0.76
T0271,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:45.409462657,0.76
T0776,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:45.683801477,0.76
T0289,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:45.922676779,0.77
T0570,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:46.022769092,0.77
T0388,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:46.208180867,0.77
T0697,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:46.392013656,0.77
T0242,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:46.810541695,0.78
T0648,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:46.934019315,0.78
T0293,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:47.189999749,0.79
T0452,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:48.177471932,0.8
T0775,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:48.597258816,0.81
T0772,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:48.667566304,0.81
T0695,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:49.149561811,0.82
T0299,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:49.362919061,0.82
T0305,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:49.479703576,0.82
T0786,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:49.562670411,0.83
T0196,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:49.774501742,0.83
T0555,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:50.620601226,0.84
T0539,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:51.014164532,0.85
T0614,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:51.324354456,0.86
T0598,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:51.600777856,0.86
T0773,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:51.691739314,0.86
T0782,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:51.825619681,0.86
T0618,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:52.323001207,0.87
T0514,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:54.713966002,0.91
T0317,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:55.145993883,0.92
T0378,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:55.407820015,0.92
T0713,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:56.552614556,0.94
T0465,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:56.570584134,0.94
T0535,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:56.790347425,0.95
T0499,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:57.158179316,0.95
T0325,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:57.271459605,0.95
T0216,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:57.315572414,0.96
T0374,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:57.497466331,0.96
T0226,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:58.106431128,0.97
T0281,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:58.379549361,0.97
T0624,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:58.545520681,0.98
T0579,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:58.838157096,0.98
T0075,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:58.900603554,0.98
T0526,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:59.116367765,0.99
