train_no,station_code,event_type,actual_time_ts,delay_minutes
T0021,HWH,ARRIVAL,06:42.2,1.7
T0021,HWH,DEPARTURE,08:42.2,1.7
T0022,HWH,ARRIVAL,50:16.2,0.27
T0022,HWH,DEPARTURE,52:16.2,0.27
T0023,HWH,ARRIVAL,40:16.6,0.28
T0023,HWH,DEPARTURE,42:16.6,0.28
T0024,HWH,ARRIVAL,05:21.9,0.37
T0024,HWH,DEPARTURE,07:21.9,0.37
T0025,HWH,ARRIVAL,06:05.8,1.1
T0025,HWH,DEPARTURE,08:05.8,1.1
T0026,HWH,ARRIVAL,32:46.1,2.77
T0026,HWH,DEPARTURE,34:46.1,2.77
T0027,HWH,ARRIVAL,05:24.1,0.4
T0027,HWH,DEPARTURE,07:24.1,0.4
T0028,HWH,ARRIVAL,35:34.7,0.58
T0028,HWH,DEPARTURE,37:34.7,0.58
T0029,HWH,ARRIVAL,45:43.1,0.72
T0029,HWH,DEPARTURE,47:43.1,0.72
T0030,HWH,ARRIVAL,45:02.3,0.04
T0030,HWH,DEPARTURE,47:02.3,0.04
T0031,HWH,ARRIVAL,35:44.9,0.75
T0031,HWH,DEPARTURE,37:44.9,0.75
T0032,HWH,ARRIVAL,05:09.0,0.15
T0032,HWH,DEPARTURE,07:09.0,0.15
T0033,HWH,ARRIVAL,05:03.2,0.05
T0033,HWH,DEPARTURE,07:03.2,0.05
T0034,HWH,ARRIVAL,32:22.7,2.38
T0034,HWH,DEPARTURE,34:22.7,2.38
T0035,HWH,ARRIVAL,07:41.8,2.7
T0035,HWH,DEPARTURE,09:41.8,2.7
T0036,HWH,ARRIVAL,41:19.3,1.32
T0036,HWH,DEPARTURE,43:19.3,1.32
T0037,HWH,ARRIVAL,05:17.4,0.29
T0037,HWH,DEPARTURE,07:17.4,0.29
T0038,HWH,ARRIVAL,40:04.9,0.08
T0038,HWH,DEPARTURE,42:04.9,0.08
T0039,HWH,ARRIVAL,07:04.5,2.07
T0039,HWH,DEPARTURE,09:04.5,2.07
T0040,HWH,ARRIVAL,05:27.8,0.46
T0040,HWH,DEPARTURE,07:27.8,0.46
T0041,HWH,ARRIVAL,05:14.1,0.23
T0041,HWH,DEPARTURE,07:14.1,0.23
T0042,HWH,ARRIVAL,45:32.8,0.55
T0042,HWH,DEPARTURE,47:32.8,0.55
T0043,HWH,ARRIVAL,05:01.7,0.03
T0043,HWH,DEPARTURE,07:01.7,0.03
T0044,HWH,ARRIVAL,24:19.2,4.32
T0044,HWH,DEPARTURE,26:19.2,4.32
T0045,HWH,ARRIVAL,05:32.3,0.54
T0045,HWH,DEPARTURE,07:32.3,0.54
T0046,HWH,ARRIVAL,20:52.1,0.87
T0046,HWH,DEPARTURE,22:52.1,0.87
T0047,HWH,ARRIVAL,05:17.9,0.3
T0047,HWH,DEPARTURE,07:17.9,0.3
T0048,HWH,ARRIVAL,06:19.3,1.32
T0048,HWH,DEPARTURE,08:19.3,1.32
T0049,HWH,ARRIVAL,05:38.0,0.63
T0049,HWH,DEPARTURE,07:38.0,0.63
T0050,HWH,ARRIVAL,45:09.8,0.16
T0050,HWH,DEPARTURE,47:09.8,0.16
T0051,HWH,ARRIVAL,07:47.7,2.79
T0051,HWH,DEPARTURE,09:47.7,2.79
T0052,HWH,ARRIVAL,42:41.2,2.69
T0052,HWH,DEPARTURE,44:41.2,2.69
T0053,HWH,ARRIVAL,07:14.6,2.24
T0053,HWH,DEPARTURE,09:14.6,2.24
T0054,HWH,ARRIVAL,44:03.2,4.05
T0054,HWH,DEPARTURE,46:03.2,4.05
T0055,HWH,ARRIVAL,05:43.7,0.73
T0055,HWH,DEPARTURE,07:43.7,0.73
T0056,HWH,ARRIVAL,37:02.4,2.04
T0056,HWH,DEPARTURE,39:02.4,2.04
T0057,HWH,ARRIVAL,05:04.4,0.07
T0057,HWH,DEPARTURE,07:04.4,0.07
T0058,HWH,ARRIVAL,20:23.6,0.39
T0058,HWH,DEPARTURE,22:23.6,0.39
T0059,HWH,ARRIVAL,05:02.2,0.04
T0059,HWH,DEPARTURE,07:02.2,0.04
T0060,HWH,ARRIVAL,05:18.9,0.31
T0060,HWH,DEPARTURE,07:18.9,0.31
T0061,HWH,ARRIVAL,05:23.6,0.39
T0061,HWH,DEPARTURE,07:23.6,0.39
T0062,HWH,ARRIVAL,35:34.2,0.57
T0062,HWH,DEPARTURE,37:34.2,0.57
T0063,HWH,ARRIVAL,06:24.7,1.41
T0063,HWH,DEPARTURE,08:24.7,1.41
T0064,HWH,ARRIVAL,05:21.2,0.35
T0064,HWH,DEPARTURE,07:21.2,0.35
T0065,HWH,ARRIVAL,05:15.8,0.26
T0065,HWH,DEPARTURE,07:15.8,0.26
T0066,HWH,ARRIVAL,45:37.6,0.63
T0066,HWH,DEPARTURE,47:37.6,0.63
T0067,HWH,ARRIVAL,05:07.3,0.12
T0067,HWH,DEPARTURE,07:07.3,0.12
T0068,HWH,ARRIVAL,56:17.8,1.3
T0068,HWH,DEPARTURE,58:17.8,1.3
T0069,HWH,ARRIVAL,05:03.7,0.06
T0069,HWH,DEPARTURE,07:03.7,0.06
T0070,HWH,ARRIVAL,37:48.1,7.8
T0070,HWH,DEPARTURE,39:48.1,7.8
T0071,HWH,ARRIVAL,06:11.0,1.18
T0071,HWH,DEPARTURE,08:11.0,1.18
T0072,HWH,ARRIVAL,40:10.6,0.18
T0072,HWH,DEPARTURE,42:10.6,0.18
T0073,HWH,ARRIVAL,05:00.3,0.0
T0073,HWH,DEPARTURE,07:00.3,0.0
T0074,HWH,ARRIVAL,26:21.1,1.35
T0074,HWH,DEPARTURE,28:21.1,1.35
T0075,HWH,ARRIVAL,05:58.9,0.98
T0075,HWH,DEPARTURE,07:58.9,0.98
T0076,HWH,ARRIVAL,51:02.7,1.04
T0076,HWH,DEPARTURE,53:02.7,1.04
T0077,BDC,ARRIVAL,21:10.8,1.18
T0077,BDC,DEPARTURE,23:10.8,1.18
T0078,BDC,ARRIVAL,30:03.7,0.06
T0078,BDC,DEPARTURE,32:03.7,0.06
T0079,HWH,ARRIVAL,25:21.3,0.36
T0079,HWH,DEPARTURE,27:21.3,0.36
T0080,HWH,ARRIVAL,35:05.9,0.1
T0080,HWH,DEPARTURE,37:05.9,0.1
T0081,HWH,ARRIVAL,06:35.4,1.59
T0081,HWH,DEPARTURE,08:35.4,1.59
T0082,HWH,ARRIVAL,51:45.4,1.76
T0082,HWH,DEPARTURE,53:45.4,1.76
T0083,HWH,ARRIVAL,05:19.3,0.32
T0083,HWH,DEPARTURE,07:19.3,0.32
T0084,HWH,ARRIVAL,30:07.1,0.12
T0084,HWH,DEPARTURE,32:07.1,0.12
T0085,HWH,ARRIVAL,30:40.2,0.67
T0085,HWH,DEPARTURE,32:40.2,0.67
T0086,HWH,ARRIVAL,10:18.9,0.31
T0086,HWH,DEPARTURE,12:18.9,0.31
T0087,HWH,ARRIVAL,01:02.8,1.05
T0087,HWH,DEPARTURE,03:02.8,1.05
T0088,HWH,ARRIVAL,51:49.6,1.83
T0088,HWH,DEPARTURE,53:49.6,1.83
T0089,BDC,ARRIVAL,11:44.7,1.75
T0089,BDC,DEPARTURE,13:44.7,1.75
T0090,BDC,ARRIVAL,06:09.0,1.15
T0090,BDC,DEPARTURE,08:09.0,1.15
T0091,BDC,ARRIVAL,10:13.8,0.23
T0091,BDC,DEPARTURE,12:13.8,0.23
T0092,BDC,ARRIVAL,52:14.9,2.25
T0092,BDC,DEPARTURE,54:14.9,2.25
T0093,HWH,ARRIVAL,07:34.5,2.57
T0093,HWH,DEPARTURE,09:34.5,2.57
T0094,HWH,ARRIVAL,00:39.5,0.66
T0094,HWH,DEPARTURE,02:39.5,0.66
T0095,HWH,ARRIVAL,07:39.2,2.65
T0095,HWH,DEPARTURE,09:39.2,2.65
T0096,HWH,ARRIVAL,41:13.5,1.23
T0096,HWH,DEPARTURE,43:13.5,1.23
T0097,HWH,ARRIVAL,06:19.9,1.33
T0097,HWH,DEPARTURE,08:19.9,1.33
T0098,HWH,ARRIVAL,15:26.8,0.45
T0098,HWH,DEPARTURE,17:26.8,0.45
T0099,HWH,ARRIVAL,40:02.8,0.05
T0099,HWH,DEPARTURE,42:02.8,0.05
T0100,HWH,ARRIVAL,05:12.3,0.21
T0100,HWH,DEPARTURE,07:12.3,0.21
T0101,HWH,ARRIVAL,05:01.5,0.03
T0101,HWH,DEPARTURE,07:01.5,0.03
T0102,HWH,ARRIVAL,45:48.6,0.81
T0102,HWH,DEPARTURE,47:48.6,0.81
T0103,HWH,ARRIVAL,05:18.1,0.3
T0103,HWH,DEPARTURE,07:18.1,0.3
T0104,HWH,ARRIVAL,21:16.7,1.28
T0104,HWH,DEPARTURE,23:16.7,1.28
T0105,HWH,ARRIVAL,06:54.3,1.91
T0105,HWH,DEPARTURE,08:54.3,1.91
T0106,HWH,ARRIVAL,15:13.8,0.23
T0106,HWH,DEPARTURE,17:13.8,0.23
T0107,HWH,ARRIVAL,15:57.1,0.95
T0107,HWH,DEPARTURE,17:57.1,0.95
T0108,HWH,ARRIVAL,06:07.6,1.13
T0108,HWH,DEPARTURE,08:07.6,1.13
T0109,HWH,ARRIVAL,05:28.1,0.47
T0109,HWH,DEPARTURE,07:28.1,0.47
T0110,HWH,ARRIVAL,10:03.8,0.06
T0110,HWH,DEPARTURE,12:03.8,0.06
T0111,HWH,ARRIVAL,05:16.4,0.27
T0111,HWH,DEPARTURE,07:16.4,0.27
T0112,HWH,ARRIVAL,00:08.4,0.14
T0112,HWH,DEPARTURE,02:08.4,0.14
T0113,HWH,ARRIVAL,09:46.7,4.78
T0113,HWH,DEPARTURE,11:46.7,4.78
T0114,HWH,ARRIVAL,26:19.2,1.32
T0114,HWH,DEPARTURE,28:19.2,1.32
T0115,HWH,ARRIVAL,06:48.4,1.81
T0115,HWH,DEPARTURE,08:48.4,1.81
T0116,HWH,ARRIVAL,26:38.5,1.64
T0116,HWH,DEPARTURE,28:38.5,1.64
T0117,HWH,ARRIVAL,07:55.8,2.93
T0117,HWH,DEPARTURE,09:55.8,2.93
T0118,HWH,ARRIVAL,40:09.9,0.17
T0118,HWH,DEPARTURE,42:09.9,0.17
T0119,HWH,ARRIVAL,16:47.1,1.78
T0119,HWH,DEPARTURE,18:47.1,1.78
T0120,HWH,ARRIVAL,05:37.2,0.62
T0120,HWH,DEPARTURE,07:37.2,0.62
T0121,HWH,ARRIVAL,07:57.9,2.97
T0121,HWH,DEPARTURE,09:57.9,2.97
T0122,HWH,ARRIVAL,01:48.7,1.81
T0122,HWH,DEPARTURE,03:48.7,1.81
T0123,HWH,ARRIVAL,05:18.4,0.31
T0123,HWH,DEPARTURE,07:18.4,0.31
T0124,HWH,ARRIVAL,45:05.6,0.09
T0124,HWH,DEPARTURE,47:05.6,0.09
T0125,HWH,ARRIVAL,05:12.4,0.21
T0125,HWH,DEPARTURE,07:12.4,0.21
T0126,HWH,ARRIVAL,21:00.2,1.0
T0126,HWH,DEPARTURE,23:00.2,1.0
T0127,HWH,ARRIVAL,41:21.8,1.36
T0127,HWH,DEPARTURE,43:21.8,1.36
T0128,HWH,ARRIVAL,08:32.9,3.55
T0128,HWH,DEPARTURE,10:32.9,3.55
T0129,HWH,ARRIVAL,05:00.3,0.01
T0129,HWH,DEPARTURE,07:00.3,0.01
T0130,HWH,ARRIVAL,35:34.3,0.57
T0130,HWH,DEPARTURE,37:34.3,0.57
T0131,HWH,ARRIVAL,05:25.9,0.43
T0131,HWH,DEPARTURE,07:25.9,0.43
T0132,HWH,ARRIVAL,45:27.1,0.45
T0132,HWH,DEPARTURE,47:27.1,0.45
T0133,HWH,ARRIVAL,05:13.8,0.23
T0133,HWH,DEPARTURE,07:13.8,0.23
T0134,HWH,ARRIVAL,05:19.8,0.33
T0134,HWH,DEPARTURE,07:19.8,0.33
T0135,HWH,ARRIVAL,57:17.4,2.29
T0135,HWH,DEPARTURE,59:17.4,2.29
T0136,HWH,ARRIVAL,05:18.7,0.31
T0136,HWH,DEPARTURE,07:18.7,0.31
T0137,HWH,ARRIVAL,55:35.1,0.59
T0137,HWH,DEPARTURE,57:35.1,0.59
T0138,HWH,ARRIVAL,30:58.3,0.97
T0138,HWH,DEPARTURE,32:58.3,0.97
T0139,HWH,ARRIVAL,05:21.7,0.36
T0139,HWH,DEPARTURE,07:21.7,0.36
T0140,HWH,ARRIVAL,31:25.3,6.42
T0140,HWH,DEPARTURE,33:25.3,6.42
T0141,HWH,ARRIVAL,07:37.5,2.63
T0141,HWH,DEPARTURE,09:37.5,2.63
T0142,HWH,ARRIVAL,05:13.9,0.23
T0142,HWH,DEPARTURE,07:13.9,0.23
T0143,HWH,ARRIVAL,40:33.0,0.55
T0143,HWH,DEPARTURE,42:33.0,0.55
T0144,HWH,ARRIVAL,05:17.2,0.29
T0144,HWH,DEPARTURE,07:17.2,0.29
T0144,BDC,ARRIVAL,13:16.1,0.27
T0144,BDC,DEPARTURE,13:46.1,0.27
T0145,HWH,ARRIVAL,00:04.1,0.07
T0145,HWH,DEPARTURE,02:04.1,0.07
T0145,BDC,ARRIVAL,10:53.6,1.69
T0145,BDC,DEPARTURE,11:38.6,1.69
T0146,HWH,ARRIVAL,05:33.5,0.56
T0146,HWH,DEPARTURE,07:33.5,0.56
T0146,SRP,ARRIVAL,15:50.5,0.04
T0146,SRP,DEPARTURE,16:20.5,0.04
T0146,CGR,ARRIVAL,23:22.9,0.26
T0146,CGR,DEPARTURE,23:52.9,0.26
T0146,BDC,ARRIVAL,34:19.9,1.91
T0146,BDC,DEPARTURE,34:49.9,1.91
T0147,HWH,ARRIVAL,30:13.1,0.22
T0147,HWH,DEPARTURE,32:13.1,0.22
T0147,SRP,ARRIVAL,40:55.5,0.13
T0147,SRP,DEPARTURE,41:25.5,0.13
T0147,CGR,ARRIVAL,48:39.5,0.54
T0147,CGR,DEPARTURE,49:09.5,0.54
T0147,BDC,ARRIVAL,00:48.9,3.4
T0147,BDC,DEPARTURE,01:18.9,3.4
T0148,HWH,ARRIVAL,05:13.3,0.22
T0148,HWH,DEPARTURE,07:13.3,0.22
T0148,BDC,ARRIVAL,16:41.5,0.89
T0148,BDC,DEPARTURE,17:11.5,0.89
T0149,HWH,ARRIVAL,32:34.9,2.58
T0149,HWH,DEPARTURE,34:34.9,2.58
T0149,BDC,ARRIVAL,39:41.3,0.49
T0149,BDC,DEPARTURE,40:26.3,0.49
T0150,HWH,ARRIVAL,07:20.7,2.34
T0150,HWH,DEPARTURE,09:20.7,2.34
T0150,BDC,ARRIVAL,15:01.5,0.83
T0150,BDC,DEPARTURE,15:46.5,0.83
T0151,HWH,ARRIVAL,25:48.0,0.8
T0151,HWH,DEPARTURE,27:48.0,0.8
T0151,BDC,ARRIVAL,33:48.2,0.8
T0151,BDC,DEPARTURE,34:18.2,0.8
T0152,HWH,ARRIVAL,06:22.9,1.38
T0152,HWH,DEPARTURE,08:22.9,1.38
T0152,BDC,ARRIVAL,14:22.2,0.17
T0152,BDC,DEPARTURE,15:07.2,0.17
T0153,HWH,ARRIVAL,16:26.6,1.44
T0153,HWH,DEPARTURE,18:26.6,1.44
T0153,BDC,ARRIVAL,26:06.6,0.31
T0153,BDC,DEPARTURE,26:36.6,0.31
T0154,HWH,ARRIVAL,05:09.9,0.17
T0154,HWH,DEPARTURE,07:09.9,0.17
T0154,SRP,ARRIVAL,15:50.0,0.03
T0154,SRP,DEPARTURE,16:20.0,0.03
T0154,BDC,ARRIVAL,25:48.9,0.72
T0154,BDC,DEPARTURE,26:18.9,0.72
T0155,HWH,ARRIVAL,22:02.2,2.04
T0155,HWH,DEPARTURE,24:02.2,2.04
T0155,BDC,ARRIVAL,29:13.8,0.03
T0155,BDC,DEPARTURE,29:58.8,0.03
T0156,HWH,ARRIVAL,05:34.4,0.57
T0156,HWH,DEPARTURE,07:34.4,0.57
T0156,SRP,ARRIVAL,16:00.3,0.21
T0156,SRP,DEPARTURE,16:30.3,0.21
T0156,CGR,ARRIVAL,23:56.9,0.83
T0156,CGR,DEPARTURE,24:26.9,0.83
T0156,BDC,ARRIVAL,32:34.4,0.15
T0156,BDC,DEPARTURE,33:04.4,0.15
T0157,HWH,ARRIVAL,30:56.4,0.94
T0157,HWH,DEPARTURE,32:56.4,0.94
T0157,SRP,ARRIVAL,41:11.5,0.39
T0157,SRP,DEPARTURE,41:41.5,0.39
T0157,CGR,ARRIVAL,50:19.7,2.21
T0157,CGR,DEPARTURE,50:49.7,2.21
T0157,BDC,ARRIVAL,57:32.3,0.12
T0157,BDC,DEPARTURE,58:02.3,0.12
T0158,HWH,ARRIVAL,05:45.0,0.75
T0158,HWH,DEPARTURE,07:45.1,0.75
T0158,BDC,ARRIVAL,14:25.0,0.22
T0158,BDC,DEPARTURE,15:10.0,0.22
T0159,HWH,ARRIVAL,49:39.3,4.66
T0159,HWH,DEPARTURE,51:39.3,4.66
T0159,BDC,ARRIVAL,57:58.6,3.78
T0159,BDC,DEPARTURE,58:43.6,3.78
T0160,HWH,ARRIVAL,05:14.3,0.24
T0160,HWH,DEPARTURE,07:14.3,0.24
T0160,BDC,ARRIVAL,16:39.8,0.86
T0160,BDC,DEPARTURE,17:09.8,0.86
T0161,HWH,ARRIVAL,56:21.6,1.36
T0161,HWH,DEPARTURE,58:21.6,1.36
T0161,BDC,ARRIVAL,06:26.9,0.65
T0161,BDC,DEPARTURE,06:56.9,0.65
T0162,HWH,ARRIVAL,05:36.2,0.6
T0162,HWH,DEPARTURE,07:36.2,0.6
T0162,CNS,ARRIVAL,16:01.3,0.22
T0162,CNS,DEPARTURE,16:31.3,0.22
T0162,BDC,ARRIVAL,28:28.7,0.08
T0162,BDC,DEPARTURE,28:58.7,0.08
T0163,HWH,ARRIVAL,46:49.2,1.82
T0163,HWH,DEPARTURE,48:49.2,1.82
T0163,CNS,ARRIVAL,54:50.7,1.85
T0163,CNS,DEPARTURE,55:20.7,1.85
T0163,BDC,ARRIVAL,02:33.1,0.8
T0163,BDC,DEPARTURE,03:03.1,0.8
T0164,HWH,ARRIVAL,05:19.9,0.33
T0164,HWH,DEPARTURE,07:19.9,0.33
T0164,BDC,ARRIVAL,13:20.6,0.34
T0164,BDC,DEPARTURE,13:50.6,0.34
T0165,HWH,ARRIVAL,36:02.1,1.04
T0165,HWH,DEPARTURE,38:02.1,1.04
T0165,BDC,ARRIVAL,44:49.2,1.82
T0165,BDC,DEPARTURE,45:19.2,1.82
T0166,HWH,ARRIVAL,08:55.6,3.93
T0166,HWH,DEPARTURE,10:55.6,3.93
T0166,SRP,ARRIVAL,16:55.5,2.72
T0166,SRP,DEPARTURE,17:40.5,2.72
T0166,CGR,ARRIVAL,22:22.7,1.85
T0166,CGR,DEPARTURE,23:07.7,1.85
T0166,CNS,ARRIVAL,27:49.7,0.16
T0166,CNS,DEPARTURE,28:34.7,0.16
T0166,BDC,ARRIVAL,38:38.2,0.32
T0166,BDC,DEPARTURE,39:23.2,0.32
T0167,HWH,ARRIVAL,51:49.8,1.83
T0167,HWH,DEPARTURE,53:49.8,1.83
T0167,SRP,ARRIVAL,58:44.8,0.75
T0167,SRP,DEPARTURE,59:14.8,0.75
T0167,CGR,ARRIVAL,03:09.4,0.01
T0167,CGR,DEPARTURE,03:39.4,0.01
T0167,CNS,ARRIVAL,09:03.6,0.09
T0167,CNS,DEPARTURE,09:33.6,0.09
T0167,BDC,ARRIVAL,18:35.8,0.87
T0167,BDC,DEPARTURE,19:05.8,0.87
T0168,HWH,ARRIVAL,05:00.5,0.01
T0168,HWH,DEPARTURE,07:00.5,0.01
T0169,HWH,ARRIVAL,30:18.9,0.32
T0169,HWH,DEPARTURE,32:18.9,0.32
T0170,HWH,ARRIVAL,05:38.2,0.64
T0170,HWH,DEPARTURE,07:38.2,0.64
T0170,BDC,ARRIVAL,13:56.5,0.94
T0170,BDC,DEPARTURE,14:26.5,0.94
T0171,HWH,ARRIVAL,00:50.7,0.84
T0171,HWH,DEPARTURE,02:50.7,0.84
T0171,BDC,ARRIVAL,08:12.2,0.2
T0171,BDC,DEPARTURE,08:42.2,0.2
T0172,HWH,ARRIVAL,05:59.8,1.0
T0172,HWH,DEPARTURE,07:59.8,1.0
T0173,HWH,ARRIVAL,45:13.0,0.22
T0173,HWH,DEPARTURE,47:13.0,0.22
T0174,BDC,ARRIVAL,15:18.9,0.31
T0174,BDC,DEPARTURE,17:18.9,0.31
T0175,BDC,ARRIVAL,21:05.9,1.1
T0175,BDC,DEPARTURE,23:05.9,1.1
T0176,BDC,ARRIVAL,16:53.3,1.89
T0176,BDC,DEPARTURE,18:53.3,1.89
T0177,BDC,ARRIVAL,36:30.8,1.51
T0177,BDC,DEPARTURE,38:30.8,1.51
T0178,BDC,ARRIVAL,15:51.4,0.86
T0178,BDC,DEPARTURE,17:51.4,0.86
T0179,BDC,ARRIVAL,16:30.7,1.51
T0179,BDC,DEPARTURE,18:30.7,1.51
T0180,BDC,ARRIVAL,20:10.6,0.18
T0180,BDC,DEPARTURE,22:10.6,0.18
T0181,BDC,ARRIVAL,35:49.5,0.83
T0181,BDC,DEPARTURE,37:49.5,0.83
T0182,BDC,ARRIVAL,15:14.8,0.25
T0182,BDC,DEPARTURE,17:14.8,0.25
T0183,BDC,ARRIVAL,40:13.4,0.22
T0183,BDC,DEPARTURE,42:13.4,0.22
T0184,BDC,ARRIVAL,21:30.1,6.5
T0184,BDC,DEPARTURE,23:30.1,6.5
T0185,BDC,ARRIVAL,30:53.9,0.9
T0185,BDC,DEPARTURE,32:53.9,0.9
T0186,BDC,ARRIVAL,24:00.4,4.01
T0186,BDC,DEPARTURE,26:00.4,4.01
T0187,BDC,ARRIVAL,00:47.9,0.8
T0187,BDC,DEPARTURE,02:47.9,0.8
T0188,BDC,ARRIVAL,16:16.0,1.27
T0188,BDC,DEPARTURE,18:16.0,1.27
T0189,BDC,ARRIVAL,35:33.5,0.56
T0189,BDC,DEPARTURE,37:33.5,0.56
T0190,BDC,ARRIVAL,15:41.3,0.69
T0190,BDC,DEPARTURE,17:41.3,0.69
T0191,BDC,ARRIVAL,06:13.3,1.22
T0191,BDC,DEPARTURE,08:13.3,1.22
T0192,BDC,ARRIVAL,20:10.4,0.17
T0192,BDC,DEPARTURE,22:10.4,0.17
T0193,BDC,ARRIVAL,32:18.4,2.31
T0193,BDC,DEPARTURE,34:18.4,2.31
T0194,BDC,ARRIVAL,15:35.6,0.59
T0194,BDC,DEPARTURE,17:35.6,0.59
T0195,BDC,ARRIVAL,40:01.2,0.02
T0195,BDC,DEPARTURE,42:01.2,0.02
T0196,HWH,ARRIVAL,05:49.8,0.83
T0196,HWH,DEPARTURE,07:49.8,0.83
T0196,BDC,ARRIVAL,13:09.4,0.16
T0196,BDC,DEPARTURE,13:39.4,0.16
T0197,HWH,ARRIVAL,17:15.4,2.26
T0197,HWH,DEPARTURE,19:15.4,2.26
T0197,BDC,ARRIVAL,28:15.7,2.46
T0197,BDC,DEPARTURE,28:45.7,2.46
T0198,BDC,ARRIVAL,16:58.2,1.97
T0198,BDC,DEPARTURE,18:58.2,1.97
T0199,BDC,ARRIVAL,25:22.2,0.37
T0199,BDC,DEPARTURE,27:22.2,0.37
T0200,BDC,ARRIVAL,15:01.7,0.03
T0200,BDC,DEPARTURE,17:01.7,0.03
T0201,BDC,ARRIVAL,07:06.5,2.11
T0201,BDC,DEPARTURE,09:06.5,2.11
T0202,BDC,ARRIVAL,15:26.8,0.45
T0202,BDC,DEPARTURE,17:26.8,0.45
T0203,BDC,ARRIVAL,47:43.2,2.72
T0203,BDC,DEPARTURE,49:43.2,2.72
T0204,HWH,ARRIVAL,02:39.1,2.65
T0204,HWH,DEPARTURE,04:39.1,2.65
T0205,HWH,ARRIVAL,06:32.0,1.53
T0205,HWH,DEPARTURE,08:32.0,1.53
T0206,HWH,ARRIVAL,05:16.7,0.28
T0206,HWH,DEPARTURE,07:16.7,0.28
T0207,HWH,ARRIVAL,55:23.3,0.39
T0207,HWH,DEPARTURE,57:23.3,0.39
T0208,HWH,ARRIVAL,06:31.4,1.52
T0208,HWH,DEPARTURE,08:31.4,1.52
T0209,HWH,ARRIVAL,00:18.3,0.3
T0209,HWH,DEPARTURE,02:18.3,0.3
T0210,HWH,ARRIVAL,40:08.9,0.15
T0210,HWH,DEPARTURE,42:08.9,0.15
T0210,BDC,ARRIVAL,50:39.1,0.65
T0210,BDC,DEPARTURE,51:09.1,0.65
T0211,HWH,ARRIVAL,37:12.1,2.2
T0211,HWH,DEPARTURE,39:12.1,2.2
T0211,BDC,ARRIVAL,45:57.2,0.95
T0211,BDC,DEPARTURE,46:27.2,0.95
T0212,HWH,ARRIVAL,05:40.5,0.68
T0212,HWH,DEPARTURE,07:40.5,0.68
T0212,BDC,ARRIVAL,15:04.9,0.08
T0212,BDC,DEPARTURE,15:34.9,0.08
T0213,HWH,ARRIVAL,55:45.8,0.76
T0213,HWH,DEPARTURE,57:45.8,0.76
T0213,BDC,ARRIVAL,08:41.3,3.69
T0213,BDC,DEPARTURE,09:11.3,3.69
T0214,HWH,ARRIVAL,40:07.2,0.12
T0214,HWH,DEPARTURE,42:07.2,0.12
T0214,BDC,ARRIVAL,50:35.1,0.58
T0214,BDC,DEPARTURE,51:05.1,0.58
T0215,HWH,ARRIVAL,56:40.7,1.68
T0215,HWH,DEPARTURE,58:40.7,1.68
T0215,BDC,ARRIVAL,06:04.8,1.08
T0215,BDC,DEPARTURE,06:34.8,1.08
T0216,HWH,ARRIVAL,05:57.3,0.96
T0216,HWH,DEPARTURE,07:57.3,0.96
T0216,BDC,ARRIVAL,15:58.2,0.97
T0216,BDC,DEPARTURE,16:28.2,0.97
